	(持股天数：29,	盈利(元):-0.39,	收益：-5.94%,	年化收益：-48.31%)
	(持股天数：151,	盈利(元):-0.10,	收益：-1.70%,	年化收益：-2.66%)
	(持股天数：36,	盈利(元):0.12,	收益：1.97%,	年化收益：12.94%)
	(持股天数：14,	盈利(元):0.31,	收益：5.43%,	年化收益：91.52%)
	(持股天数：55,	盈利(元):-0.03,	收益：-0.40%,	年化收益：-1.73%)
总持股天数：468,	总盈利(元):-2.74,	总收益：-23.27%,	总年化收益：-11.73%

0600015: 
	(持股天数：10,	盈利(元):0.07,	收益：0.79%,	年化收益：18.67%)
	(持股天数：60,	盈利(元):0.57,	收益：7.88%,	年化收益：31.01%)
	(持股天数：109,	盈利(元):0.30,	收益：4.12%,	年化收益：8.91%)
	(持股天数：88,	盈利(元):-1.20,	收益：-15.79%,	年化收益：-42.34%)
	(持股天数：10,	盈利(元):-0.05,	收益：-0.79%,	年化收益：-18.76%)
	(持股天数：13,	盈利(元):-0.03,	收益：-0.48%,	年化收益：-8.67%)
	(持股天数：46,	盈利(元):-0.66,	收益：-10.59%,	年化收益：-54.35%)
	(持股天数：44,	盈利(元):0.00,	收益：0.00%,	年化收益：0.00%)
总持股天数：380,	总盈利(元):-1.00,	总收益：-15.84%,	总年化收益：-9.84%

0600016: 
	(持股天数：128,	盈利(元):-1.89,	收益：-23.62%,	年化收益：-43.56%)
	(持股天数：28,	盈利(元):0.22,	收益：3.84%,	年化收益：32.36%)
	(持股天数：39,	盈利(元):-0.21,	收益：-3.31%,	年化收益：-20.04%)
	(持股天数：184,	盈利(元):0.36,	收益：5.92%,	年化收益：7.59%)
	(持股天数：20,	盈利(元):-0.17,	收益：-3.26%,	年化收益：-38.43%)
	(持股天数：88,	盈利(元):-0.63,	收益：-13.26%,	年化收益：-35.57%)
	(持股天数：45,	盈利(元):0.01,	收益：0.27%,	年化收益：1.39%)
	(持股天数：29,	盈利(元):-0.07,	收益：-1.89%,	年化收益：-15.40%)
总持股天数：561,	总盈利(元):-2.38,	总收益：-32.96%,	总年化收益：-13.86%

0600017: 
	(持股天数：99,	盈利(元):-0.23,	收益：-7.28%,	年化收益：-17.35%)
	(持股天数：34,	盈利(元):0.53,	收益：19.41%,	年化收益：134.76%)
	(持股天数：37,	盈利(元):-0.24,	收益：-6.90%,	年化收益：-43.99%)
	(持股天数：37,	盈利(元):-0.12,	收益：-4.07%,	年化收益：-25.95%)
	(持股天数：106,	盈利(元):0.43,	收益：16.60%,	年化收益：36.96%)
	(持股天数：99,	盈利(元):-0.02,	收益：-0.71%,	年化收益：-1.70%)
	(持股天数：5,	盈利(元):0.15,	收益：5.15%,	年化收益：243.30%)
	(持股天数：86,	盈利(元):0.32,	收益：11.59%,	年化收益：31.82%)
总持股天数：503,	总盈利(元):0.82,	总收益：34.35%,	总年化收益：16.12%

0600018: 
	(持股天数：148,	盈利(元):-1.57,	收益：-21.99%,	年化收益：-35.06%)
	(持股天数：43,	盈利(元):1.14,	收益：22.01%,	年化收益：120.79%)
	(持股天数：55,	盈利(元):-0.10,	收益：-1.33%,	年化收益：-5.72%)
	(持股天数：46,	盈利(元):-0.09,	收益：-1.53%,	年化收益：-7.87%)
	(持股天数：79,	盈利(元):-0.52,	收益：-11.06%,	年化收益：-33.05%)
	(持股天数：39,	盈利(元):0.38,	收益：8.70%,	年化收益：52.62%)
	(持股天数：48,	盈利(元):0.37,	收益：8.41%,	年化收益：41.34%)
	(持股天数：8,	盈利(元):0.29,	收益：6.46%,	年化收益：190.53%)
	(持股天数：37,	盈利(元):-0.15,	收益：-2.61%,	年化收益：-16.64%)
总持股天数：503,	总盈利(元):-0.25,	总收益：0.48%,	总年化收益：0.22%

0600019: 
	(持股天数：1,	盈利(元):-0.19,	收益：-2.05%,	年化收益：-482.67%)
	(持股天数：93,	盈利(元):-0.82,	收益：-8.90%,	年化收益：-22.59%)
	(持股天数：92,	盈利(元):-0.83,	收益：-10.67%,	年化收益：-27.37%)
	(持股天数：15,	盈利(元):-0.57,	收益：-8.30%,	年化收益：-130.54%)
	(持股天数：5,	盈利(元):0.29,	收益：5.40%,	年化收益：254.90%)
	(持股天数：88,	盈利(元):-1.10,	收益：-19.23%,	年化收益：-51.57%)
	(持股天数：114,	盈利(元):-0.66,	收益：-8.38%,	年化收益：-17.34%)
总持股天数：408,	总盈利(元):-3.88,	总收益：-42.98%,	总年化收益：-24.86%

0600020: 
	(持股天数：28,	盈利(元):-0.57,	收益：-13.48%,	年化收益：-113.58%)
	(持股天数：15,	盈利(元):0.33,	收益：10.34%,	年化收益：162.76%)
	(持股天数：244,	盈利(元):-1.45,	收益：-27.00%,	年化收益：-26.12%)
	(持股天数：39,	盈利(元):-0.16,	收益：-4.42%,	年化收益：-26.75%)
	(持股天数：39,	盈利(元):-0.04,	收益：-1.21%,	年化收益：-7.33%)
	(持股天数：8,	盈利(元):0.10,	收益：2.98%,	年化收益：87.80%)
	(持股天数：68,	盈利(元):-0.22,	收益：-6.34%,	年化收益：-22.00%)
	(持股天数：74,	盈利(元):-0.26,	收益：-7.93%,	年化收益：-25.28%)
总持股天数：515,	总盈利(元):-2.27,	总收益：-41.56%,	总年化收益：-19.05%

0600021: 
	(持股天数：15,	盈利(元):0.43,	收益：5.37%,	年化收益：84.46%)
	(持股天数：19,	盈利(元):-0.04,	收益：-0.49%,	年化收益：-6.12%)
	(持股天数：27,	盈利(元):0.23,	收益：3.11%,	年化收益：27.17%)
	(持股天数：16,	盈利(元):1.00,	收益：15.67%,	年化收益：231.19%)
	(持股天数：131,	盈利(元):0.57,	收益：7.40%,	年化收益：13.34%)
	(持股天数：19,	盈利(元):0.15,	收益：2.02%,	年化收益：25.11%)
	(持股天数：106,	盈利(元):1.37,	收益：20.15%,	年化收益：44.86%)
	(持股天数：19,	盈利(元):0.20,	收益：2.77%,	年化收益：34.36%)
	(持股天数：15,	盈利(元):0.57,	收益：8.55%,	年化收益：134.45%)
	(持股天数：54,	盈利(元):-0.25,	收益：-3.54%,	年化收益：-15.45%)
	(持股天数：56,	盈利(元):2.24,	收益：25.66%,	年化收益：108.13%)
	(持股天数：14,	盈利(元):1.06,	收益：11.92%,	年化收益：201.00%)
总持股天数：491,	总盈利(元):7.53,	总收益：149.15%,	总年化收益：71.69%

0600022: 
	(持股天数：13,	盈利(元):-0.02,	收益：-0.91%,	年化收益：-16.58%)
	(持股天数：102,	盈利(元):-0.19,	收益：-10.16%,	年化收益：-23.51%)
	(持股天数：83,	盈利(元):-0.28,	收益：-15.73%,	年化收益：-44.73%)
	(持股天数：37,	盈利(元):0.10,	收益：7.46%,	年化收益：47.60%)
	(持股天数：82,	盈利(元):0.02,	收益：1.63%,	年化收益：4.68%)
	(持股天数：2,	盈利(元):0.04,	收益：2.78%,	年化收益：327.78%)
总持股天数：319,	总盈利(元):-0.33,	总收益：-15.80%,	总年化收益：-11.69%

0600023: 
	(持股天数：62,	盈利(元):-0.28,	收益：-5.02%,	年化收益：-19.10%)
	(持股天数：18,	盈利(元):0.43,	收益：9.39%,	年化收益：123.10%)
